ID,frequency,recency,T
11104,4,347.2223843,723.3747569
11128,0,0,578.248669
11137,4,615.1228472,1013.35809
11138,1,361.901794,395.1510648
11139,1,611.5012963,1137.573391
11155,2,421.2853009,443.5724769
11183,2,246.3000463,623.3749306
11192,0,0,878.9419213
11213,4,649.9830208,711.4345023
11218,1,552.9746875,868.14375
11219,1,77.76428241,1153.320347
11229,3,452.770544,891.084375
11233,1,165.0763194,890.4866551
11257,0,0,361.3842361
11267,1,181.1076042,1060.602234
11282,4,795.6396412,1067.081169
11287,6,231.5840162,1194.990069
11309,0,0,798.22875
11313,2,207.0873032,1157.235023
11315,5,500.6372106,650.2187847
11318,4,922.0177546,1042.127199
11319,1,193.4569097,849.6026852
11370,0,0,980.5819097
11421,0,0,589.1090856
